,importance
Series_GRN325L,0.00045474808
region_waco,0.0004523693
AdaptiveDrivingBeam_Standard,0.000448999
Model_Firebird,0.00044782116
Make_RAM,0.00044511192
Model_TLX,0.00044502757
Model_Explorer,0.00044498025
Trim_460,0.00044315343
WheelBaseType_Standard,0.00044180287
Model_Avalon,0.00043970085
Series_Type 92A,0.00043924048
Series_SXT,0.00043912113
Model_QX80,0.00043484877
Make_CHRYSLER,0.00043334393
Series_Touring/Touring-EL,0.00043259273
Make_SUBARU,0.00043193283
AirBagLocSide_1st and 2nd Rows,0.00043164712
Model_XTS,0.0004305933
CAN_AACN_Optional,0.00042471002
FuelTypeSecondary_Gasoline,0.00042334915
Model_Durango,0.00042272315
region_new orleans,0.00042272208
Series_GSL30L/GSL33L/GSL35L/ASL30L,0.00042021318
Model_Golf GTI,0.0004191669
AirBagLocSide_1st and 2nd and 3rd Rows,0.0004189548
Trim_Rubicon/Unlimited Rubicon,0.00041867964
BodyCabType_Regular,0.00041614077
TransmissionStyle_Automatic,0.0004148829
Trim_VF,0.00041305515
Model_Sierra,0.00041250995
Trim_SE,0.00041165657
AirBagLocCurtain_1st and 2nd and 3rd Rows,0.00041109353
Make_GMC,0.00040707912
Make_VOLKSWAGEN,0.00040276517
Trim_R/T,0.000402344
Model_Sorento,0.0004012501
Model_A6,0.0003985296
Trim2_Double Cab,0.00039755335
Trim_DT,0.0003974955
Series_1500,0.00039703347
Model_640i,0.00039598497
Model_A7,0.00039356484
state_or,0.00039331822
Series_Econoline,0.00039315585
Series_UVF46L,0.00039310908
Series2_BH,0.0003903371
Model_LS,0.00038416567
Model_Camry,0.00038340443
Trim_2500-Laramie,0.00038210987
Make_ACURA,0.00038141728
FuelTypeSecondary_Compressed Natural Gas (CNG),0.00038131032
state_mn,0.00037968537
Series_SEL / Value Edition / Limited,0.0003793909
Series_Scat Pack,0.00037797078
Model_Titan,0.00037693564
Model_Mazda6,0.00037659795
Model_Giulia (952),0.0003759461
region_grand island,0.00037581442
Model_Ram,0.00037475588
state_oh,0.00037469494
Series_GI,0.00037426708
AirBagLocSide_1st Row (Driver and Passenger),0.00037293168
Model_MKS,0.00037272263
Trim_Overland,0.00037208264
region_austin,0.00037181776
region_baltimore,0.00036967866
Model_GL-Class,0.00036959726
Model_A3,0.00036947208
Model_XJ,0.00036941093
Model_CTS,0.000366287
Model_300,0.00036435114
EngineConfiguration_In-Line,0.00036429422
Series2_350,0.00036306103
Series_DJ,0.00036266103
Trim_Longhorn,0.00036112347
Trim_Sport,0.0003609586
Series_ASE30L/GSE31L/GSE36L/GSE37L,0.00036069454
Model_Cayenne,0.00035989503
Model_Impala Limited,0.00035933586
Model_Stelvio,0.00035732368
BrakeSystemType_Hydraulic,0.0003570805
Trim_3500,0.00035673054
Model_X1,0.0003550738
Trim_350,0.00035485736
region_anchorage / mat-su,0.0003541344
"Series_GLI (S, 35th Anniversary Ed., Autobahn)",0.00035387732
WheelBaseType_Long,0.00035313246
state_ne,0.00035175905
Trim_Fleet/Base,0.00035149456
Make_ALFA ROMEO,0.0003513027
Trim_Work Truck/LS/Fleet/Base,0.000349713
PedestrianAutomaticEmergencyBraking_Standard,0.00034946296
Series_LT w/Low Emissions Package,0.00034847294
region_south florida,0.00034813024
Model_Regal,0.00034666216
Model_SRX,0.00034570665
BodyClass_Coupe,0.0003451624
Series_LD,0.00034505193
region_bozeman,0.00034494797
Model_Range Rover Evoque,0.00034458848
state_nj,0.0003439665
Trim_SRW Low Roof Van,0.000342749
Model_Tiguan,0.00034234134
Trim_SRT8,0.00034220165
Series_URJ201L,0.00034186593
Series_1 Ton,0.00034181835
Model_Discovery,0.00034098493
Model_CX-5,0.00033699442
Trim_L,0.0003366476
Series_Single Rear Wheels,0.00033492717
Series2_Police Vehicle,0.0003345689
region_greenville / upstate,0.00033383645
Trim_SLT,0.00033372137
region_santa barbara,0.00033299558
BedType_Standard,0.00033108954
Trim_ZL1,0.0003309546
Series_CLS550,0.0003298574
state_ri,0.00032833964
LaneKeepSystem_Standard,0.0003278998
Model_328i,0.00032617553
Model_F-TYPE,0.00032602935
Model_X5,0.00032531243
Trim_SRT,0.00032407616
Series_ASV50L/GSV50L/AVV50L,0.00032368998
BodyClass_Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),0.00032349498
state_ny,0.0003231674
Model_RC,0.00032309172
Series_Reserve,0.0003222597
Model_F-350,0.0003220641
Model_Crosstrek,0.00032052735
region_western slope,0.00032019112
Model_Highlander,0.00031934763
state_va,0.0003191457
Trim_LA,0.00031882664
Series_SL550,0.00031856072
Series2_Hatchback Body Style,0.00031789104
state_md,0.0003166538
Model_9-3,0.00031651702
Model_370Z,0.00031548864
FuelTypePrimary_Hybrid,0.00031462722
TopSpeedMPH,0.00031396182
Trim_SH-AWD,0.0003130644
Model_Verano,0.00031228305
AirBagLocKnee_Driver Seat Only,0.0003111734
Model_Savana,0.00031013117
Model_CT,0.00030925355
region_laredo,0.00030846626
PedestrianAutomaticEmergencyBraking_Optional,0.00030698968
Series_AXAA52L/AXAA54L/AXAH54L,0.00030697935
Model_Traverse,0.00030669576
Trim_Performance,0.00030606388
Make_FIAT,0.00030570925
AdaptiveCruiseControl_Standard,0.0003056423
state_ak,0.00030560058
TransmissionStyle_Dual-Clutch Transmission (DCT),0.00030551222
Model_TT,0.00030523769
Trim2_G Grade,0.00030281945
Series_2500,0.00030273935
region_dallas / fort worth,0.00030202704
Model_Acadia,0.00030115678
Trim_High Country,0.0003008988
Series_GSL30L/GSL33L/GSL35L,0.00030030822
region_denver,0.00029903505
region_houston,0.00029862553
Series_RZN180L/VZN180L/RZN185L/VZN185L,0.00029837346
Model_Escape,0.00029819724
Trim_Rebel,0.00029608354
LowerBeamHeadlampLightSource_Halogen,0.00029481208
region_altoona-johnstown,0.00029390727
Model_Spark,0.00029102166
Series_Q5 quattro Premium,0.00028946664
Model_QX50,0.00028890016
Model_Silverado,0.00028885953
ValveTrainDesign_Overhead Valve (OHV),0.00028849646
ElectrificationLevel_HEV (Hybrid Electric Vehicle) - Level Unknown,0.00028717323
Model_428i,0.0002857737
Trim_XLE/XLE Premium,0.00028548588
Series_UZJ120L,0.00028513497
Model_Fusion,0.0002849063
Model_ML-Class,0.00028398552
Series_Laredo,0.000283327
AdaptiveDrivingBeam_Optional,0.00028248265
Model_Countryman,0.00028221004
Trim_SH-AWD (Tech),0.00028111192
Series_3-series,0.00028088107
Model_Golf Alltrack,0.0002798967
RearCrossTrafficAlert_Standard,0.00027926717
region_lexington,0.00027909395
state_id,0.0002788276
Series2_Wagon body style,0.00027808154
Series_UZZ40L,0.00027789676
Trim_LTZ,0.00027702894
"Series_Rebel(U, BUX), Sport 2TL pkg/Rebel 2TW pkg (Can)",0.0002767928
BodyClass_Crossover Utility Vehicle (CUV),0.00027526636
LaneKeepSystem_Optional,0.0002746776
Make_KIA,0.00027431076
region_new hampshire,0.0002740112
region_billings,0.0002739238
Model_Trax,0.00027305144
state_la,0.00027233336
