iter	Passed	Remaining
822	17353	3732
823	17372	3710
824	17391	3689
825	17411	3667
826	17430	3646
827	17450	3624
828	17470	3603
829	17490	3582
830	17510	3561
831	17529	3539
832	17548	3518
833	17568	3496
834	17588	3475
835	17608	3454
836	17627	3432
837	17647	3411
838	17666	3390
839	17684	3368
840	17705	3347
841	17724	3326
842	17743	3304
843	17764	3283
844	17783	3262
845	17802	3240
846	17823	3219
847	17843	3198
848	17862	3176
849	17881	3155
850	17900	3134
851	17920	3112
852	17943	3092
853	17966	3071
854	17989	3050
855	18012	3030
856	18033	3009
857	18054	2988
858	18074	2966
859	18094	2945
860	18114	2924
861	18134	2903
862	18152	2881
863	18172	2860
864	18192	2839
865	18212	2818
866	18231	2796
867	18251	2775
868	18271	2754
869	18289	2732
870	18308	2711
871	18327	2690
872	18345	2668
873	18364	2647
874	18383	2626
875	18403	2605
876	18421	2583
877	18440	2562
878	18460	2541
879	18482	2520
880	18503	2499
881	18524	2478
882	18545	2457
883	18565	2436
884	18585	2415
885	18607	2394
886	18627	2373
887	18647	2351
888	18667	2330
889	18686	2309
890	18706	2288
891	18725	2267
892	18745	2246
893	18765	2225
894	18786	2203
895	18806	2182
896	18824	2161
897	18844	2140
898	18864	2119
899	18884	2098
900	18903	2077
901	18921	2055
902	18940	2034
903	18961	2013
904	18981	1992
905	19000	1971
906	19021	1950
907	19040	1929
908	19058	1907
909	19077	1886
910	19095	1865
911	19113	1844
912	19132	1823
913	19152	1802
914	19170	1780
915	19189	1759
916	19207	1738
917	19227	1717
918	19247	1696
919	19265	1675
920	19285	1654
921	19304	1633
922	19324	1612
923	19343	1591
924	19361	1569
925	19379	1548
926	19399	1527
927	19417	1506
928	19437	1485
929	19460	1464
930	19482	1443
931	19503	1422
932	19523	1402
933	19545	1381
934	19564	1360
935	19584	1339
936	19604	1318
937	19622	1297
938	19642	1276
939	19661	1255
940	19680	1233
941	19699	1212
942	19718	1191
943	19738	1170
944	19757	1149
945	19777	1128
946	19797	1107
947	19816	1087
948	19836	1066
949	19856	1045
950	19875	1024
951	19893	1003
952	19912	982
953	19931	961
954	19951	940
955	19970	919
956	19989	898
957	20008	877
958	20027	856
959	20047	835
960	20067	814
961	20086	793
962	20105	772
963	20125	751
964	20146	730
965	20167	709
966	20188	688
967	20207	668
968	20226	647
969	20246	626
970	20266	605
971	20285	584
972	20304	563
973	20324	542
974	20344	521
975	20365	500
976	20385	479
977	20406	459
978	20425	438
979	20445	417
980	20465	396
981	20486	375
982	20506	354
983	20525	333
984	20545	312
985	20564	291
986	20583	271
987	20604	250
988	20626	229
989	20644	208
990	20663	187
991	20683	166
992	20704	145
993	20723	125
994	20745	104
995	20771	83
996	20794	62
997	20817	41
998	20838	20
999	20859	0
